1,EXT SLATE QUARRY  DAY,183
2,INT FLINTSTONES BEDROOM  DAY,9
3,INT BEDROOM  NEW ANGLE,108
4,INT FLINTSTONE KITCHEN  DAY,172
5,EXT FLINTSTONE DRIVEWAY  LATER,102
6,INT BARNEYS GARAGEWORKSHOP  DAY,128
7,EXT BEDROCK STREET  TRAVELLING  DAY,165
8,EXT BEDROCK BUTCHER SHOP  DAY,25
9,INT BUTCHER SHOP  DAY,156
10,EXT BUTCHER SHOP  DAY,14
11,EXT SLATE CONSTRUCTION  DAY,81
12,INT OFFICE  PULLBACK FROM WINDOW,30
13,EXT QUARRY  MOVING SHOT,154
14,INT SLATES OFFICE  SAME TIME,83
15,EXT SLATES OFFICE WINDOW,24
16,INT SLATES OFFICE  WIDER  DAY,20
17,INT SLATES OFFICE  DAY,246
18,INT SCHOOL  DAY,96
19,INT CAR  FRED AND BARNEY  NIGHT,37
20,INT FLINTSTONE HOUSE  NIGHT,173
21,EXT WATER BUFFALO LODGE  NIGHT,8
22,INT WATER BUFFALO LODGE  NIGHT,143
23,INT LODGE  RECREATION AREA  LATER,254
24,EXT FLINTSTONERUBBLE HOUSES  DAY,160
25,EXT QUARRY  DAY,255
26,INT SLATES OFFICE  DAY,122
27,EXT QUARRY YARD  DAY,35
28,EXT FLINTSTONE  RUBBLE LAWNS  DAY,118
29,EXT LODGE HALL  THAT NIGHT,7
30,INT LODGE HALL,240
31,EXT SLATE QUARRY  NIGHT,136
32,INT ASSEMBLY LINE  NIGHT,219
33,INT BEDROCK POLICE STATION  NIGHT,39
34,EXT POLICE STATION  NIGHT,89
35,INT SLATES OFFICE  DAY,137
36,INT LAVAS OFFICE  DAY,157
37,EXT FLINTSTONE HOUSE  DAY,236
38,EXT SLATE CITY  NIGHT,232
39,EXT FLINTSTONE HOUSE  NIGHT,199
40,INT BARNEYS WORKSHOP  NIGHT,198
41,INT SLATE NEEDLE  NIGHT,78
42,INT EMPTY FIBRERIDE  TIGHT ON ANOTHER WATCH  NIGHT,19
43,INT FREDS CAR  TRAVELLING,38
44,EXT CAR  NIGHT,7
45,EXT ROCKDONALDS RESTAURANT  NIGHT,147
46,INT SLATE NEEDLE,191
47,EXT BASE OF FIBRESPHERE AND SLATE NEEDLE  NIGHT,40
48,INT BEDROCK POLICE STATION  NIGHT,51
49,INT FIBRESPHERE  NIGHT,32
50,INT SLATE NEEDLE  NIGHT,112
51,EXT SLATE NEEDLE  NIGHT,192
52,EXT FIBRESPHERE  LONG SHOT,403
53,EXT DRIVEIN MOVIE THEATRE  NIGHT,6
54,EXT DRIVEIN RESTAURANT  NIGHT,18
