1,  EXT CITYSCAPE  NIGHT,45
2,  INT LINCOLN CENTER  NIGHT,28
3,  INT LINCOLN CENTER  BACKSTAGE  LATER,31
4,  EXT THE DRAKE  NIGHT,7
5,  INT THE DRAKE  HARTWELL S APARTMENT  NIGHT,21
6,  INT THE DRAKE  LOBBY  MOMENTS LATER,29
7,  INT LIMOUSINE  DRIVING  NIGHT,51
8,  EXT THE DRAKE  CONTINUOUS,25
9,  EXT THE DRAKECITY STREET  DAY,26
10,  INT THE DRAKE  LOBBY  CONTINUOUS,59
11,  INT THE DRAKE  PENTHOUSE  DAY,60
12,  INT THE DRAKE  PENTHOUSE  GAVIN S OFFICE  SHORT TIME LATER,161
13,  INT THE DRAKE  HALLWAY  DAY,91
14,  INT THE DRAKE  JANE  HENRY S APARTMENT  CONTINUOUS,50
15,  EXT THE DRAKE  PENTHOUSE TERRACE  DAY,16
16,  INT THE DRAKE  BRIAN S APARTMENT  MOMENTS LATER,86
17,  INT THE DRAKE  GARAGEFREIGHT ELEVATOR  NIGHT,48
18,  INT THE DRAKE  JANE  HENRY S APARTMENT  BEDROOM  NIGHT,46
19,  INT THE DRAKE  BARLOW S APARTMENT  NIGHT,19
20,  INT THE DRAKE  JANE  HENRY S APARTMENT  NIGHT,19
21,  INT THE DRAKE  PENTHOUSE  THE NEXT DAY,119
22,  INT CITY GOVERNMENT BUILDING  HALLWAYHENRY S OFFICE  DAY,53
23,  INT THE DRAKE  JANE  HENRY S APARTMENT  SAME TIME,60
24,  INT THE DRAKE  BRIAN S APARTMENT  BEDROOM  DAY,98
25,  INT THE DRAKE  HALLWAY  DAY,44
26,  INT THE DRAKE  HALLWAY  MOMENTS LATER,36
27,  INT THE DRAKE  ELEVATOR  CONTINUOUS,84
28,  EXT CITY STREET  MOMENTS LATER,13
29,  INT THE DRAKE  HALLWAYBARLOW S APARTMENT  DAY,40
30,  INT THE DRAKE  BASEMENT LAUNDRY ROOM  DAY,50
31,  INT THE DRAKE  JANE  HENRY S APARTMENT  NIGHT,103
32,  INT THE DRAKE  BARLOW S APARTMENT  NIGHT,66
33,  EXT COUNTRY CLUB  GOLF COURSE  WESTCHESTER NY  MORNING,40
34,  INT THE DRAKE  BASEMENT LAUNDRY ROOM  MORNING,46
35,  INT THE DRAKE  JANE  HENRY S APARTMENT  MOMENTS LATER,31
36,  EXT COUNTRY CLUB  GOLF COURSE  WESTCHESTER NY  DAY,135
37,  EXT DESIGNER BOUTIQUE  SOHO  DAY,5
38,  INT DESIGNER BOUTIQUE  DAY,96
39,  INT THE DRAKE  BARLOW S APARTMENT  DAY,71
40,  EXT CITY STREET  DAY,31
41,  INT SOHO CAFE  DAY,102
42,  INT THE DRAKE  LOBBY  DAY,39
43,  INT THE DRAKE  BRIAN S APARTMENT  DAY,63
44,  EXT NEW YORK PUBLIC LIBRARY  TH AVE  ND  DAY,5
45,  INT NEW YORK PUBLIC LIBRARY  MAIN READING ROOM  DAY,28
46,  EXT CITY STREET  UPPER EAST SIDE  DAY,58
47,  INT THE DRAKE  BARLOW S APARTMENT  DAY,39
48,  INT THE DRAKE  JANE  HENRY S APARTMENT  DAY,109
49,  INT THE DRAKE  LOBBY  NIGHT,35
50,  INT LINCOLN CENTER  PATRONS CIRCLE  COCKTAIL PARTY  NIGHT,63
51,  INT THE DRAKE  HANNAH S APARTMENT  NIGHT,60
52,  INT THE DRAKE  LOBBY  NIGHT,82
53,  INT LINCOLN CENTER  NIGHT  LATER,13
54,  INT THE DRAKE  HANNAH S APARTMENT  NIGHT,6
55,  INT THE DRAKE  JANE  HENRY S APARTMENT  NIGHT,25
56,  INT THE DRAKE  BARLOW S APARTMENT  NIGHT,10
57,  INT THE DRAKE  BRIAN S APARTMENT  NIGHT,22
58,  EXT MANHATTAN DOG PARK  NIGHT,21
59,  INT THE DRAKE  BARLOW S APARTMENT  BEDROOM  NIGHT,30
60,  INT LINCOLN CENTER  THE BALCONY  NIGHT,27
61,  INT THE DRAKE  JANE  HENRY S APARTMENT  NIGHT,50
62,  INT THE DRAKE  PENTHOUSE  NIGHT,47
63,  INT THE DRAKE  BARLOW S APARTMENT  NIGHT,64
64,  INT THE DRAKE  JANE  HENRY S APARTMENT  BEDROOM  NIGHT,11
65,  INT THE DRAKE  HALLWAY  NIGHT,13
66,  INT THE DRAKE  STAIRWELL  MOMENTS LATER,14
67,  INT THE DRAKE  BASEMENT LAUNDRY ROOM  MOMENTS LATER,27
68,  EXT THE DRAKE  ROOFTOP  NIGHT  CONTINUOUS,67
69,  INT THE DRAKE  JANE  HENRY S APARTMENT  MORNING,38
70,  INT THE DRAKE  HANNAH S APARTMENT  DAY,38
71,  INT THE DRAKE  PENTHOUSE  DAY,103
